Age,Salary,Loan Amount,Years at Job,Debt to Income Ratio,Credit Score,Marital Status,Employment Type,Education Level,Home Ownership,Past Loan Defaults,Loan Purpose,Number of Dependents,Phone Number,Email Address,Credit Approval
39,63955.73687178653,47630.77081839674,38,0.6817486440901612,681,Married,Unemployed,Bachelor's,Own,1,Education,3,+1-504-667-3617,john.doe@example.com,1
45,30233.55219452819,33138.709709627656,8,0.1129316426860113,711,Married,Self-employed,High School,Mortgage,0,Home,3,+1-461-138-9109,john.doe@example.com,0
19,108147.09963320282,40254.02266737266,25,0.8420744373985792,662,Single,Unemployed,Master's,Mortgage,2,Business,0,+1-880-608-2721,john.doe@testmail.com,1
59,37606.530691261374,32551.609364652108,15,0.2422312178245669,808,Divorced,Self-employed,PhD,Own,3,Car,3,+1-595-836-2430,john.doe@testmail.com,1
62,83755.02740298875,26797.930140831828,4,0.4782598841952235,436,Single,Self-employed,Master's,Rent,4,Car,0,+1-760-630-4940,john.doe@example.com,1
23,118763.12962801337,34736.905323466286,9,0.1451965128846603,474,Married,Unemployed,Bachelor's,Mortgage,1,Home,1,+1-402-491-6834,john.doe@example.com,1
45,78293.15813885993,29885.06536663813,2,0.7101100564217067,588,Single,Salaried,PhD,Mortgage,4,Education,2,+1-209-235-6237,john.doe@example.com,0
45,113163.75831966898,31886.413818436853,12,0.6668544210142678,780,Divorced,Salaried,Master's,Mortgage,3,Education,1,+1-936-704-9616,john.doe@demo.org,1
61,51250.48798056639,40272.464903848784,29,0.21111247116613618,318,Single,Salaried,Bachelor's,Rent,2,Business,4,+1-193-224-6841,john.doe@demo.org,1
61,98395.9868043827,26640.672415204317,5,0.8634007668570018,494,Married,Self-employed,High School,Own,3,Home,4,+1-125-115-6634,john.doe@testmail.com,0
37,77813.91785761807,6833.934774161275,16,0.4013060242197122,629,Single,Unemployed,High School,Own,3,Car,4,+1-659-990-8719,john.doe@demo.org,0
47,94846.44552523183,12379.976644527374,18,0.2925150910707418,474,Single,Unemployed,Master's,Own,4,Home,0,+1-478-123-8132,john.doe@example.com,1
28,35610.72262601173,24737.32474202923,34,0.15232958946453545,748,Single,Self-employed,Bachelor's,Rent,1,Business,3,+1-793-417-1798,john.doe@testmail.com,0
45,43296.5182715604,37617.19519433263,25,0.26616801251553746,653,Married,Self-employed,Master's,Rent,3,Car,1,+1-358-439-1799,john.doe@example.com,1
42,41980.52357287304,31697.539173958045,4,0.022026921223816998,798,Married,Self-employed,Bachelor's,Rent,4,Car,1,+1-135-143-1716,john.doe@example.com,0
56,91844.89548629979,34263.23836430542,28,0.5832574924561156,440,Divorced,Salaried,High School,Mortgage,1,Car,1,+1-621-999-1820,john.doe@testmail.com,0
50,105999.66053702659,26567.551785932927,36,0.8422307463439479,392,Single,Salaried,PhD,Own,2,Education,1,+1-654-753-9730,john.doe@example.com,1
18,97465.46088077287,32708.390987400926,19,0.5489804494416418,538,Single,Unemployed,PhD,Mortgage,2,Education,4,+1-345-476-8889,john.doe@demo.org,0
44,32742.493746023476,19805.7847016598,20,0.21927396192387572,504,Divorced,Unemployed,High School,Rent,0,Business,1,+1-812-227-5952,john.doe@example.com,1
69,108049.34829672509,26158.21667134993,9,0.03366917821387272,732,Divorced,Salaried,PhD,Own,4,Home,3,+1-484-844-6238,john.doe@demo.org,0
30,61873.20037138129,38492.557951773,4,0.21462807325880284,544,Single,Unemployed,PhD,Rent,1,Business,4,+1-295-662-4622,john.doe@testmail.com,1
58,65744.74492536743,44232.475053790455,35,0.4161214280710923,616,Married,Self-employed,Master's,Rent,3,Education,1,+1-217-277-2531,john.doe@example.com,0
20,39438.224987923284,24514.4900280375,5,0.7596114286997965,594,Divorced,Salaried,PhD,Rent,2,Home,0,+1-762-669-2172,john.doe@demo.org,0
56,96366.46854844372,6964.774596831254,25,0.1878428525377741,581,Married,Unemployed,PhD,Mortgage,1,Education,2,+1-727-280-1954,john.doe@demo.org,0
23,46405.549062836224,12275.26448660612,3,0.7197914533546861,316,Married,Unemployed,Master's,Own,4,Business,2,+1-548-631-1312,john.doe@testmail.com,0
25,80756.85828169528,5938.751268119215,38,0.8669334683518837,370,Married,Salaried,PhD,Rent,0,Car,2,+1-800-750-4055,john.doe@testmail.com,0
44,105663.8987290138,34396.83586567985,38,0.45394684810835706,568,Married,Salaried,Master's,Mortgage,2,Business,4,+1-988-426-1079,john.doe@example.com,1
26,38028.38958408506,19954.158140979904,34,0.8214319916425933,624,Married,Unemployed,PhD,Mortgage,1,Education,1,+1-493-937-8732,john.doe@testmail.com,0
54,78180.2007613971,29411.538607371538,0,0.5546573480350956,604,Divorced,Unemployed,PhD,Mortgage,1,Business,4,+1-745-938-7424,john.doe@demo.org,1
50,50989.47703948211,27197.45810527098,23,0.637090837080905,750,Divorced,Self-employed,Bachelor's,Mortgage,1,Car,3,+1-852-527-3692,john.doe@example.com,1
68,60863.41778504342,8668.692029859201,35,0.5262784603382027,306,Divorced,Unemployed,Master's,Rent,4,Home,0,+1-467-876-2806,john.doe@example.com,1
59,72657.29472875004,23146.761250572432,5,0.46317271675134175,613,Single,Salaried,Bachelor's,Mortgage,4,Home,0,+1-920-356-5998,john.doe@testmail.com,0
61,61959.38729513743,14925.250621504547,30,0.23465344177584935,402,Divorced,Unemployed,Master's,Own,4,Car,2,+1-727-324-5531,john.doe@testmail.com,1
41,88394.05562624184,23827.990490044373,19,0.30319405946104605,492,Married,Self-employed,Master's,Rent,3,Business,2,+1-862-325-7600,john.doe@demo.org,0
32,73162.38915788251,14161.02261540092,23,0.289970118943609,828,Single,Salaried,Bachelor's,Rent,1,Business,2,+1-921-577-9451,john.doe@example.com,1
49,82577.95362427524,42820.35828246201,24,0.5632889309538147,470,Single,Self-employed,High School,Mortgage,2,Car,1,+1-862-452-6841,john.doe@demo.org,1
49,96314.02278554215,12838.700146021414,35,0.11995369302388992,836,Single,Unemployed,PhD,Rent,4,Business,3,+1-734-202-7767,john.doe@example.com,1
41,80196.80393553937,48235.124816913965,20,0.9167916907023351,550,Divorced,Self-employed,Bachelor's,Mortgage,4,Education,3,+1-893-306-5821,john.doe@demo.org,1
58,82788.18911946833,23715.831476612337,29,0.7206551452831133,686,Married,Salaried,Bachelor's,Own,1,Business,3,+1-689-617-3109,john.doe@example.com,1
69,80801.26882703771,43081.03814085722,23,0.40144563091319363,506,Divorced,Self-employed,Master's,Mortgage,4,Car,3,+1-158-272-6922,john.doe@demo.org,0
66,64089.536335616045,33294.41681926753,29,0.15862414452637796,840,Divorced,Salaried,Master's,Rent,3,Business,2,+1-695-946-4238,john.doe@testmail.com,1
66,60370.21504847263,38090.76343995887,21,0.8819921697216359,715,Married,Self-employed,High School,Rent,3,Education,0,+1-115-365-3637,john.doe@demo.org,1
69,110968.2657430511,39547.574963005114,27,0.8237780901011652,679,Divorced,Salaried,PhD,Mortgage,4,Business,2,+1-134-424-7555,john.doe@demo.org,0
29,84679.97000642156,27718.0196851858,6,0.7217215527171793,443,Divorced,Salaried,Bachelor's,Rent,1,Business,3,+1-714-496-8374,john.doe@testmail.com,0
56,51991.783991818906,29448.52355134798,34,0.27154704741124236,324,Single,Salaried,Bachelor's,Rent,1,Car,2,+1-102-761-2907,john.doe@demo.org,0
19,74842.29280640461,28129.814051392623,27,0.40244663743366893,372,Single,Unemployed,High School,Rent,1,Home,3,+1-792-973-3689,john.doe@testmail.com,1
20,59731.36331528226,31462.627014053563,13,0.10274825245242336,392,Single,Self-employed,Master's,Rent,0,Car,4,+1-359-581-5047,john.doe@testmail.com,1
66,114032.26413838871,6322.750059042828,9,0.18903952472753172,804,Married,Salaried,Master's,Own,4,Business,0,+1-216-862-6748,john.doe@demo.org,1
54,30678.092682066726,22798.182643205688,15,0.7830166373167329,635,Married,Self-employed,Bachelor's,Rent,1,Education,4,+1-785-811-3648,john.doe@example.com,1
66,50279.95179412754,32278.49211025272,15,0.7150387188506838,724,Single,Salaried,PhD,Own,3,Education,1,+1-288-393-4895,john.doe@demo.org,1
34,62882.113770665186,31897.560436513897,30,0.5934857629759347,798,Married,Salaried,Bachelor's,Mortgage,2,Home,2,+1-760-175-7315,john.doe@example.com,1
66,73902.88207278642,40683.02425725342,24,0.8957267259261729,663,Married,Self-employed,PhD,Rent,2,Car,1,+1-697-738-9737,john.doe@testmail.com,0
19,106573.57660525315,34475.42024744488,12,0.5832665178130454,498,Single,Salaried,High School,Own,1,Education,2,+1-507-521-9407,john.doe@example.com,0
19,37909.88620861295,49645.99923533026,5,0.4669679999636107,712,Married,Salaried,High School,Mortgage,2,Home,4,+1-905-130-9457,john.doe@testmail.com,1
45,102527.8398067029,17773.453787389026,8,0.3403707463057627,638,Married,Self-employed,PhD,Rent,2,Home,3,+1-282-633-4224,john.doe@demo.org,1
40,35008.81404212778,21161.796334980416,35,0.9404485057361726,728,Married,Self-employed,Bachelor's,Rent,0,Business,3,+1-693-953-3471,john.doe@testmail.com,1
54,105808.26317683635,22273.12183405083,19,0.0827154615243535,438,Single,Self-employed,PhD,Own,3,Business,2,+1-293-279-5044,john.doe@demo.org,1
49,34647.193008706156,25961.576315911185,17,0.9308873720608084,841,Married,Unemployed,High School,Own,3,Business,3,+1-279-327-6576,john.doe@demo.org,1
50,31641.823328552495,42619.912870154425,20,0.8267146599310183,356,Divorced,Self-employed,Bachelor's,Rent,0,Car,4,+1-560-848-1366,john.doe@testmail.com,0
18,92726.53161297794,15610.644228164443,3,0.1299299245357013,531,Divorced,Salaried,PhD,Rent,0,Education,3,+1-468-441-2928,john.doe@testmail.com,0
36,119752.99812915549,39920.009316594325,32,0.5649843576752536,734,Divorced,Unemployed,PhD,Mortgage,2,Business,4,+1-607-496-8297,john.doe@demo.org,1
19,110694.92366766187,23238.958238858453,26,0.8665479817490869,683,Married,Self-employed,Master's,Rent,4,Business,1,+1-347-645-4260,john.doe@example.com,0
61,81839.85760250941,32083.492264790384,6,0.5718091636071537,493,Divorced,Unemployed,PhD,Mortgage,2,Car,4,+1-887-645-2828,john.doe@example.com,1
43,112565.60517769784,33464.323995183775,5,0.9071998215606223,833,Married,Unemployed,High School,Rent,0,Home,0,+1-882-556-4874,john.doe@example.com,1
49,30477.00057578449,21778.188673502053,14,0.9429838168160425,817,Divorced,Self-employed,Master's,Mortgage,3,Home,0,+1-614-908-2313,john.doe@testmail.com,1
23,117756.04466506283,28067.684234261233,17,0.4223845221843059,484,Divorced,Salaried,PhD,Rent,2,Car,0,+1-639-912-3236,john.doe@demo.org,0
49,74167.39013329061,23586.402859146365,31,0.3773136614063236,591,Divorced,Self-employed,Master's,Mortgage,4,Home,2,+1-628-522-3953,john.doe@testmail.com,0
21,95060.64869595981,8110.975378397875,10,0.9363211539691568,634,Divorced,Self-employed,PhD,Own,2,Education,2,+1-206-470-8978,john.doe@testmail.com,1
28,103877.53258380173,24672.442496757194,19,0.6751400611496681,415,Single,Unemployed,High School,Mortgage,1,Education,2,+1-910-161-4865,john.doe@testmail.com,0
34,94661.15437528983,9382.702664909848,23,0.11602268134816929,348,Single,Unemployed,Master's,Own,2,Car,4,+1-780-159-5104,john.doe@testmail.com,0
55,78153.30588404194,23225.935958614467,14,0.042291749222681196,381,Divorced,Salaried,PhD,Mortgage,0,Education,2,+1-745-560-7043,john.doe@demo.org,1
41,72895.75357137708,31681.327992430182,6,0.5646290509972631,632,Divorced,Unemployed,Bachelor's,Mortgage,3,Car,1,+1-763-762-9691,john.doe@demo.org,0
22,105472.43028323623,31073.670470457535,20,0.9301709654384246,634,Single,Self-employed,Master's,Rent,3,Education,0,+1-518-348-6981,john.doe@example.com,0
69,48456.98041345132,34817.957555374414,25,0.8442487024058184,831,Married,Self-employed,PhD,Own,0,Home,4,+1-535-965-2683,john.doe@testmail.com,1
51,117119.46598538109,9286.767857958184,13,0.6758477464643364,520,Divorced,Salaried,Bachelor's,Own,1,Car,0,+1-300-343-3896,john.doe@demo.org,1
23,93985.72309530734,34345.546048869706,36,0.13911584889108752,622,Single,Self-employed,High School,Mortgage,0,Business,2,+1-358-446-4834,john.doe@example.com,0
39,47955.62346044878,19046.662551340116,20,0.2542313837486956,302,Divorced,Self-employed,High School,Own,2,Business,4,+1-528-671-1164,john.doe@testmail.com,1
28,96262.24653286394,22957.06757617,17,0.8755112265526162,505,Married,Self-employed,Bachelor's,Mortgage,0,Home,3,+1-929-473-8224,john.doe@testmail.com,0
65,77685.6020863005,43609.38142652176,4,0.18280723665690046,339,Married,Salaried,Master's,Rent,0,Business,1,+1-133-506-5068,john.doe@example.com,1
33,93650.70860800002,5406.368185829761,2,0.27843940825043456,358,Divorced,Salaried,PhD,Own,1,Education,2,+1-214-780-4129,john.doe@testmail.com,1
50,99100.1551298555,31478.568500327245,22,0.12960065119544195,806,Divorced,Salaried,Master's,Rent,2,Home,2,+1-237-937-3518,john.doe@testmail.com,1
26,37856.116163070794,31942.129104504842,25,0.6761082314144111,421,Single,Salaried,High School,Mortgage,4,Home,1,+1-970-531-5073,john.doe@demo.org,1
23,75549.35607234124,22849.68993546029,36,0.9439823053632096,778,Single,Self-employed,High School,Own,4,Home,1,+1-512-429-2143,john.doe@example.com,0
33,113881.29080312407,15666.253569875129,23,0.26896803159538596,395,Divorced,Unemployed,High School,Mortgage,3,Education,3,+1-449-729-8387,john.doe@testmail.com,1
46,58857.797294356285,15560.331721769799,18,0.4754066078500737,713,Married,Salaried,Master's,Own,0,Business,2,+1-789-958-8974,john.doe@example.com,1
20,83449.47878021089,44766.93513473387,24,0.6343397397112043,534,Single,Salaried,PhD,Mortgage,3,Education,2,+1-146-549-2255,john.doe@testmail.com,1
37,63230.74333589065,24891.096820228588,20,0.9994662482156307,361,Divorced,Self-employed,High School,Own,1,Car,0,+1-222-478-1217,john.doe@testmail.com,0
53,70884.11749971897,19890.021334512738,11,0.10480806499757211,555,Divorced,Salaried,Bachelor's,Mortgage,4,Home,4,+1-167-103-3007,john.doe@demo.org,0
36,79374.28061443378,25194.990822413136,32,0.49857079950570915,647,Divorced,Unemployed,Master's,Rent,0,Home,4,+1-755-461-4429,john.doe@testmail.com,1
43,79402.97819000795,35122.568065671265,3,0.38512011990250006,423,Single,Salaried,Master's,Rent,1,Car,0,+1-653-801-7292,john.doe@demo.org,1
20,48155.741609721226,11559.045571013827,6,0.8658201652223552,781,Married,Salaried,PhD,Mortgage,1,Home,4,+1-235-528-8768,john.doe@example.com,1
36,91611.43930918499,25224.522584618197,21,0.4759677310116559,616,Married,Salaried,Bachelor's,Own,0,Home,1,+1-914-897-8895,john.doe@testmail.com,1
37,37908.130011839115,31454.796699967414,32,0.11097752458514809,803,Single,Unemployed,PhD,Mortgage,1,Business,4,+1-256-818-8867,john.doe@example.com,1
49,42494.22960978183,47686.25096831452,16,0.6344241452865836,347,Single,Unemployed,Master's,Mortgage,0,Car,4,+1-712-950-4352,john.doe@testmail.com,1
24,30243.98094728967,16363.750193393867,23,0.7707806182638798,708,Divorced,Salaried,Master's,Mortgage,0,Education,0,+1-976-815-9115,john.doe@example.com,0
69,40502.64577275132,21166.283656231048,33,0.0028812516656145926,435,Married,Salaried,PhD,Mortgage,2,Car,3,+1-237-894-3808,john.doe@testmail.com,1
58,72584.95809467029,22071.13654650907,27,0.8589566854206295,500,Married,Salaried,Bachelor's,Own,3,Car,4,+1-456-639-1775,john.doe@testmail.com,1
50,84549.16929502547,32249.21709401973,38,0.18602300000566563,549,Single,Unemployed,PhD,Own,1,Home,4,+1-991-652-9765,john.doe@demo.org,1
57,101486.05049698162,21052.942386800074,21,0.5520693646533779,613,Married,Self-employed,Master's,Rent,1,Education,3,+1-591-427-7341,john.doe@example.com,1
56,39602.93251020925,29008.0366384863,16,0.41579750068745014,667,Married,Salaried,High School,Own,2,Business,0,+1-422-954-3130,john.doe@demo.org,1
35,106565.47140148093,40180.564843026325,33,0.7196538166105304,728,Single,Unemployed,PhD,Own,2,Car,3,+1-434-382-3808,john.doe@example.com,1
57,97137.70729938464,36742.35173504916,5,0.37116161478574183,779,Single,Unemployed,Master's,Mortgage,2,Home,0,+1-164-581-2171,john.doe@demo.org,0
18,66766.64636423253,25086.58909306635,5,0.8697631766817108,613,Single,Unemployed,PhD,Mortgage,4,Education,1,+1-639-954-8783,john.doe@demo.org,0
28,113964.42603899592,43889.7279953376,33,0.7304963609587902,799,Married,Self-employed,Master's,Rent,4,Home,0,+1-561-717-2687,john.doe@example.com,0
45,119183.65288116515,30116.31123172383,0,0.6477131710629215,654,Married,Self-employed,Bachelor's,Rent,4,Home,1,+1-186-628-7186,john.doe@testmail.com,0
42,48450.16290479135,29295.76277759956,9,0.7962405955628543,784,Married,Self-employed,Master's,Own,0,Car,1,+1-740-407-4437,john.doe@demo.org,0
67,64130.57264674204,6538.449467262118,20,0.7540230349283823,510,Single,Unemployed,PhD,Own,1,Home,0,+1-753-618-4294,john.doe@testmail.com,0
40,113380.448123074,49401.18411607227,4,0.03593867492155334,343,Married,Salaried,Bachelor's,Rent,3,Home,2,+1-460-369-2344,john.doe@testmail.com,1
48,94943.68956761494,10533.686383833203,1,0.39473435384482813,840,Single,Salaried,Bachelor's,Mortgage,0,Home,0,+1-388-420-3320,john.doe@example.com,1
47,34328.51795676789,15400.891059244097,21,0.9308072973164898,391,Divorced,Self-employed,High School,Rent,1,Business,4,+1-212-308-7921,john.doe@example.com,1
59,100336.30335762734,7326.357675868713,1,0.12572426899222622,564,Married,Unemployed,High School,Mortgage,1,Home,4,+1-223-635-2208,john.doe@demo.org,1
52,104514.67984597427,33800.133507661114,9,0.7370965504320512,519,Married,Salaried,PhD,Rent,2,Home,2,+1-821-183-8546,john.doe@testmail.com,1
24,97545.17322887822,15111.5529637706,33,0.9745918113353297,741,Single,Salaried,PhD,Mortgage,2,Business,1,+1-502-309-3123,john.doe@demo.org,1
33,101958.34178275641,13100.469686272558,15,0.052198629044971634,700,Single,Unemployed,Master's,Rent,0,Business,2,+1-870-749-2301,john.doe@demo.org,0
43,104261.94090235175,8985.001290045862,38,0.6821938806266105,699,Married,Self-employed,High School,Rent,2,Home,4,+1-987-692-3586,john.doe@demo.org,1
65,46776.44881093297,9648.903070580705,21,0.4681541413010304,789,Divorced,Salaried,Bachelor's,Own,1,Car,2,+1-716-220-6193,john.doe@example.com,0
69,51212.25714584997,31310.181519916492,11,0.5791752553747221,784,Divorced,Self-employed,Bachelor's,Own,2,Home,0,+1-526-172-3779,john.doe@demo.org,0
66,87038.27073481595,35969.35396399679,23,0.08534133648432485,769,Single,Self-employed,Master's,Rent,4,Car,2,+1-473-784-4110,john.doe@demo.org,1
19,111707.95174162644,22882.054480898045,39,0.04300695186693948,744,Single,Self-employed,High School,Mortgage,2,Home,1,+1-624-471-7167,john.doe@example.com,1
18,58457.69240668452,26595.368671643297,37,0.6668666605509217,568,Married,Self-employed,Bachelor's,Mortgage,1,Home,0,+1-554-508-7215,john.doe@example.com,1
65,82947.6008215551,35868.548119234285,9,0.8233094298207179,566,Married,Self-employed,High School,Own,0,Business,3,+1-523-459-1660,john.doe@example.com,1
29,91468.38570754192,5782.090558346584,34,0.7820153349329673,353,Married,Salaried,Master's,Own,3,Car,4,+1-910-937-6154,john.doe@example.com,1
22,70675.37411691353,19540.879568162534,31,0.5438057278662374,827,Married,Salaried,High School,Own,2,Business,4,+1-385-419-2775,john.doe@testmail.com,1
54,94240.42093697934,48789.398663165586,6,0.09986682113617817,819,Divorced,Salaried,Bachelor's,Own,1,Business,2,+1-175-989-3474,john.doe@example.com,1
49,110970.07007629558,31105.050336296063,20,0.6880444438360138,358,Single,Salaried,Master's,Own,3,Business,0,+1-158-386-8296,john.doe@example.com,0
26,86169.13897636539,16440.106095387197,19,0.24188888355414595,339,Divorced,Self-employed,Bachelor's,Mortgage,3,Education,3,+1-413-906-5516,john.doe@testmail.com,1
58,78580.29557231697,28477.85209862959,25,0.9110687027673836,536,Married,Salaried,High School,Rent,4,Business,0,+1-452-228-7642,john.doe@example.com,1
52,69487.02078495052,20419.40696544119,3,0.8382653595457049,685,Single,Salaried,PhD,Mortgage,3,Business,4,+1-155-608-3345,john.doe@demo.org,0
36,81973.76438155131,28951.02449718346,21,0.7093829670873909,599,Single,Self-employed,High School,Own,1,Education,0,+1-849-935-2839,john.doe@demo.org,1
65,61982.62066365563,10658.368031299196,14,0.9488459558311304,694,Married,Unemployed,Master's,Rent,1,Business,3,+1-793-216-6306,john.doe@testmail.com,1
33,65233.38991813517,10972.159421867484,39,0.03142182151127293,506,Divorced,Self-employed,Master's,Own,2,Home,2,+1-483-777-4852,john.doe@testmail.com,0
20,77867.17317193566,11459.406291772679,20,0.736200425060762,635,Single,Self-employed,PhD,Own,2,Business,1,+1-135-722-4910,john.doe@testmail.com,1
37,35995.72011517353,47291.890636707874,14,0.33024277933640533,813,Single,Unemployed,Bachelor's,Rent,2,Business,0,+1-371-160-8621,john.doe@testmail.com,1
41,50612.28518323167,37980.45132536038,21,0.9060658856863653,477,Divorced,Salaried,Bachelor's,Mortgage,3,Business,1,+1-339-221-3094,john.doe@demo.org,1
50,78856.4379552068,12307.185259804439,27,0.2666751966619776,695,Married,Self-employed,Master's,Rent,3,Business,4,+1-661-827-5868,john.doe@testmail.com,1
41,68837.53288227983,13475.708769452065,13,0.724856499315017,670,Married,Unemployed,PhD,Mortgage,4,Car,2,+1-831-127-3802,john.doe@demo.org,1
69,59953.42073212359,37887.32636918944,26,0.8776470196507814,617,Single,Salaried,Bachelor's,Own,2,Car,2,+1-599-616-9247,john.doe@demo.org,1
28,95749.42231283712,12027.373015647827,39,0.041656818382682426,668,Married,Self-employed,PhD,Own,0,Car,0,+1-511-615-2931,john.doe@example.com,0
66,92434.58466630045,15555.25820006729,27,0.3976475795920361,683,Single,Unemployed,PhD,Rent,4,Car,2,+1-703-733-9783,john.doe@testmail.com,1
25,45005.768399404486,48350.607476917954,25,0.7623090320219387,361,Single,Self-employed,High School,Own,0,Car,0,+1-500-902-9654,john.doe@demo.org,1
53,109076.62038360944,16488.79361277943,1,0.4549188895075871,804,Married,Unemployed,Bachelor's,Own,3,Car,0,+1-152-177-2354,john.doe@testmail.com,0
55,74588.1263763569,34773.455766701605,24,0.2672526297935953,538,Single,Self-employed,PhD,Mortgage,4,Car,1,+1-248-887-5072,john.doe@example.com,0
57,96731.4820025141,49038.40793302387,2,0.21980534882319003,494,Single,Unemployed,High School,Mortgage,4,Business,2,+1-912-471-7659,john.doe@example.com,1
37,81583.57643316498,21843.35452129067,7,0.1315182669163779,521,Single,Salaried,High School,Rent,1,Home,0,+1-479-260-8516,john.doe@example.com,0
52,119792.3354331459,5788.219588792801,32,0.8571295598562823,360,Married,Self-employed,Bachelor's,Rent,3,Car,1,+1-910-521-9618,john.doe@demo.org,1
65,97716.28080349404,15986.628069006842,34,0.575355403251556,428,Divorced,Self-employed,Bachelor's,Mortgage,3,Education,3,+1-934-483-2615,john.doe@demo.org,1
42,93628.24151191131,42389.47361037674,5,0.07638494499145598,455,Married,Salaried,Bachelor's,Rent,4,Business,1,+1-300-977-9253,john.doe@example.com,0
52,100071.4745145676,43907.397617976654,38,0.3825803235706354,677,Single,Unemployed,High School,Rent,3,Education,1,+1-154-585-7743,john.doe@example.com,1
42,42881.51869936226,39583.37140357061,22,0.3677336508051099,736,Married,Salaried,PhD,Mortgage,4,Car,0,+1-602-136-8063,john.doe@testmail.com,1
46,48409.013385251696,10089.941858445785,24,0.18173919070946298,506,Single,Self-employed,Master's,Rent,1,Education,4,+1-950-196-3514,john.doe@demo.org,0
35,94265.76740012527,40797.96672633814,18,0.4355076254721907,687,Married,Unemployed,PhD,Own,4,Home,4,+1-254-442-5346,john.doe@example.com,0
63,74458.33384177764,46340.50086470769,4,0.33209936539313645,779,Divorced,Unemployed,Master's,Rent,3,Home,4,+1-170-738-4366,john.doe@example.com,0
35,97917.1762674105,32027.429414580623,10,0.34180370549218253,639,Married,Salaried,Master's,Own,3,Education,1,+1-885-970-6445,john.doe@demo.org,0
19,39262.44276697305,47339.39103521292,11,0.7390265577879587,639,Single,Unemployed,PhD,Rent,4,Home,0,+1-700-718-2645,john.doe@example.com,1
52,78283.32163361352,42207.74976703448,9,0.2232633855051963,503,Single,Self-employed,Bachelor's,Rent,4,Education,2,+1-248-496-5059,john.doe@example.com,0
33,64093.94090012241,35013.71826459083,7,0.6418599588553554,460,Single,Self-employed,Master's,Rent,4,Home,1,+1-307-435-8196,john.doe@testmail.com,0
58,71130.01973535106,30973.335652028665,23,0.5706496238809349,839,Single,Self-employed,Master's,Own,2,Home,1,+1-199-744-2901,john.doe@demo.org,0
53,84356.20848652613,20685.81502588867,27,0.5680925123378673,691,Single,Unemployed,High School,Rent,3,Business,0,+1-782-942-7335,john.doe@demo.org,0
50,75205.95127162771,12167.935035926232,35,0.6630073461417759,833,Single,Self-employed,Bachelor's,Rent,3,Business,3,+1-739-997-1588,john.doe@example.com,0
21,78587.4573401553,32222.926521074336,36,0.548382036195654,369,Divorced,Salaried,High School,Rent,2,Business,1,+1-101-516-2437,john.doe@testmail.com,1
50,73772.1733796047,19315.019912815376,20,0.8792551148463846,704,Divorced,Self-employed,High School,Mortgage,4,Car,3,+1-276-518-9112,john.doe@demo.org,0
31,66805.96593769439,43989.74003874404,7,0.6755800919502598,816,Divorced,Salaried,Master's,Rent,1,Business,3,+1-950-761-6917,john.doe@testmail.com,1
38,99469.37825384206,49700.16218113828,8,0.5469632513713881,419,Divorced,Unemployed,Master's,Rent,4,Business,4,+1-323-342-3669,john.doe@testmail.com,0
65,31098.276508624007,38859.249317700764,14,0.8297631202876449,516,Single,Self-employed,PhD,Own,4,Education,0,+1-984-166-1002,john.doe@demo.org,0
37,83859.84310847044,9071.676287917284,39,0.6061465649334797,355,Married,Self-employed,High School,Mortgage,2,Home,3,+1-741-571-7945,john.doe@example.com,0
25,80895.75125906765,17990.851798878713,17,0.291144247785179,665,Single,Unemployed,High School,Mortgage,3,Car,0,+1-365-973-9979,john.doe@example.com,0
24,94456.1167259657,9909.933429458739,19,0.20709491817657122,803,Married,Salaried,Bachelor's,Own,4,Car,4,+1-954-817-7959,john.doe@example.com,0
20,83912.64282995938,34273.024150627214,5,0.1523277856626788,754,Single,Unemployed,PhD,Rent,3,Car,0,+1-393-798-2306,john.doe@example.com,0
34,104411.89450281704,39433.58890501031,11,0.8994552125461016,403,Married,Self-employed,PhD,Own,0,Home,1,+1-396-192-5996,john.doe@testmail.com,0
50,116316.7315107625,46655.36738963203,1,0.7101354317980658,376,Married,Salaried,PhD,Rent,3,Car,3,+1-743-754-3073,john.doe@demo.org,0
65,60827.183146068906,24717.755588539443,6,0.9373784381643208,529,Single,Self-employed,High School,Rent,1,Education,0,+1-460-664-3478,john.doe@demo.org,1
29,50461.58847269883,45561.904231479995,15,0.603291805714943,557,Divorced,Salaried,High School,Rent,1,Car,2,+1-545-808-8390,john.doe@example.com,0
68,68123.71761784346,44505.102156859735,2,0.47340088149491255,563,Married,Salaried,High School,Own,4,Home,0,+1-601-370-4808,john.doe@example.com,1
39,55913.665482815355,19273.807254442938,2,0.059716488970889325,630,Divorced,Salaried,High School,Mortgage,3,Education,3,+1-294-981-1476,john.doe@testmail.com,0
39,85345.5236837389,44100.5281493257,26,0.6716422815460298,481,Divorced,Salaried,Bachelor's,Own,4,Education,4,+1-969-789-6701,john.doe@testmail.com,1
63,112066.71679586683,21905.25133467769,39,0.5822087597682312,849,Divorced,Unemployed,Master's,Mortgage,2,Home,4,+1-837-620-2669,john.doe@example.com,0
47,42520.45747287557,18359.117355212635,37,0.9902088935876214,326,Divorced,Salaried,Bachelor's,Own,1,Home,3,+1-835-781-8554,john.doe@example.com,0
55,39071.51427142978,34208.35964574769,32,0.23915877778224304,575,Divorced,Unemployed,High School,Mortgage,4,Education,1,+1-731-378-6622,john.doe@demo.org,0
